name,absence,rle,dx,dy,symType,period,required,req dx,req dy,locus,locus dx,locus dy,forbidden 1,forbid 1 dx,forbid 1 dy,forbidden 2,forbid 2 dx,forbid 2 dy,forbidden 3,forbid 3 dx,forbid 3 dy
meatball,10,4bo2bo$8bo$3bo5bo$b3obobob2o$o3b2o3bo$obobobo2bo2$bo2bobobobo$bo3b2o3bo$2obobob3o$bo5bo$2bo$3bo2bo!,-4,0,x,7,3b2o3b3o$b12o$13o$13o$12o$b11o$b12o$13o$13o$13o$2b3o3b2o!,-5,1,b4o$b4o10$4o$4o!,-1,0,,,,,,,,,
thin meatball,10,bo2bo$5bo$o5bo$2o4bo$5bo$4bo$3b4obo$3bo3bo$bo3bo$ob4o$4bo$3bo$2bo4b2o$2bo5bo$3bo$4bo2bo!,-1,0,x,7,4b5o$9o$9o$9o$b10o$b10o$b10o$10o$10o$10o$2b9o$2b9o$2b9o$2b5o!,-2,1,4o$4o13$3b4o$3b4o!,0,0,,,,,,,,,
p7 pipsquirter,10,5bo$5bo2$3bo3bo$b3obob3o$o4bo4bo$b4obobobo$4bobo4b2o$b2obo2bob2o2bo$b2obo3bobob2o$5bo4bobo$10bo2bo$6bo4b3o$7b4o$11bo$3b2obobob2o$3bob2ob2o$7bo3b3o$7bob2o2bo$8bobo!,-5,0,+,7,3b7o$b11o$13o$13o$15o$b15o$b15o$b15o$b15o$4b12o$4b12o$4b12o$3b12o$3b12o$3b13o$3b13o$7b9o$7b9o$8b5o!,-6,2,bo$bo$3o!,-1,0,5bo$5bo2$3bo3bo$b3obob3o$o4bo4bo$b4obobobo$4bobo4b2o$b2obo2bob2o2bo$b2obo3bobob2o$5bo4bobo$10bo2bo$6bo4b3o$7b4o$11bo$3b2obobob2o$3bob2ob2o$7bo3b3ob2o$7bob2o2bobobo$8bobo5bo!,-23,0,6bo$6bo2$4bo3bo$2b3obob3o$bo4bo4bo$2b4obobobo$5bobo4b2o$2b2obo2bob2o2bo$2b2obo3bobob2o$6bo4bobo$11bo2bo$7bo4b3o$8b4o$12bo$b2ob2obobob2o$obobob2ob2o$bo6bo3b3o$8bob2o2bo$9bobo!,-47,0,,,
62P7 (midsized domino),10,8b2o$6bo4bo$2b2obo6bob2o$bob4o4b4obo$bobob8obobo$2obo2b6o2bob2o$o2bo10bo2bo$2bo2bo6bo2bo$3b2o8b2o$5bo6bo$3b2o3b2o3b2o$3bo3bo2bo3bo$bobo4b2o4bobo$b2o12b2o!,-8,0,+,7,2b3o9b4o$b4o9b5o$b18o$20o$20o$20o$20o$2b16o$2b16o$2b16o$b18o$b18o$b5o2b4o2b5o$b5o8b5o!,-9,1,2b2o$6o!,-2,0,11b2o$9bo4bo$5b2obo6bob2o$4bob4o4b4obo$4bobob8obobo$3b2obo2b6o2bob2o$3bo2bo10bo2bo$5bo2bo6bo2bo$6b2o8b2o$8bo6bo$6b2o3b2o3b2o$bo4bo3bo2bo3bo$obobobo4b2o4bobo$b2ob2o12b2o!,-34,0,8b2o$6bo4bo$2b2obo6bob2o$bob4o4b4obo$bobob8obobo$2obo2b6o2bob2o$o2bo10bo2bo$2bo2bo6bo2bo$3b2o8b2o$5bo6bo$3b2o3b2o3b2o$3bo3bo2bo3bo4bo$bobo4b2o4bobobobo$b2o12b2ob2o!,-57,0,,,
60P7 (midsize domino),10,10b2o$8b6o$7b8o$6bo8bo$5b2o8b2o$3b3ob8ob3o$2bob2o2b6o2b2obo$b2ob2o4b2o4b2ob2o$2bo2b2o8b2o2bo$o2bobo10bobo2bo$2obobobo6bobobob2o$3bo2b2o6b2o2bo$2obo14bob2o$obo16bobo!,-10,0,@,7,6b12o$5b14o$3b18o$2b20o$b22o$24o$24o$24o$24o$24o$24o$6o12b6o$6o12b6o!,-11,2,2b2o$6o!,-2,0,,,,,,,,,
120P7 (large circular MW),10,8bo7bo$6bo3bo3bo3bo$5bo4bo3bo4bo$11bobo$7b3obobob3o$2bo4bo3bobo3bo4bo$bo9bobo9bo$4b2o5bobo5b2o$o3bo6bobo6bo3bo$4bo5bo3bo5bo$b2o6bo5bo6b2o$3b6o7b6o2$3b6o7b6o$b2o6bo5bo6b2o$4bo5bo3bo5bo$o3bo6bobo6bo3bo$4b2o5bobo5b2o$bo9bobo9bo$2bo4bo3bobo3bo4bo$7b3obobob3o$11bobo$5bo4bo3bo4bo$6bo3bo3bo3bo$8bo7bo!,-2,-5,.,7,7b3o3b3o$6b11o$5b13o$4b15o$3b17o$2b19o$b21o$23o$23o$23o$b21o$b21o$b21o$23o$23o$23o$b21o$2b19o$3b17o$4b15o$5b13o$6b11o$7b3o3b3o!,-1,-4,,,,,,,,,,,,
121P7 (corner sparker),10,17b2o$17bo2bo2$21bo$18bo$10b2o6b2o$10bobo2b3o$12bo2b3o$12b2ob2o$3b2o5b2o6bobo$4bo4bo2b3o3bob3o$3bo3bo2bobo3bobo4bo$2bob7o2b2obobob3o$2bobo6bobo3bo2bo$b2o3b3obo2bobobobo$2bob2obobo3b2obobo$o2bobobobo2b3obo$2obobobobob2o3bo$3bobo3bobobobo$3bo2b2obobob2o$2b2o4bobobo$8bo3bo$7b2o3b2o!,-20,-1,*,7,17b4o$17b4o$17b4o$17b4o$17b4o$10b4o2b6o$10b12o$10b12o$10b12o$3b4o3b13o$3b4o2b16o$3b23o$2b24o$2b24o$b24o$b22o$22o$21o$19o$19o$b17o$2b15o$2b14o$7b9o$7b9o!,-21,-2,2o$2o$3o$2o!,-1,0,17b2o$17bo2bo2$21bo$18bo$10b2o6b2o$10bobo2b3o$12bo2b3o$12b2ob2o$3b2o5b2o6bobo$4bo4bo2b3o3bob3o$3bo3bo2bobo3bobo4bo$2bob7o2b2obobob3o$2bobo6bobo3bo2bo$b2o3b3obo2bobobobo$2bob2obobo3b2obobo$o2bobobobo2b3obo$2obobobobob2o3bo$3bobo3bobobobo$3bo2b2obobob2o$2b2o4bobobo$8bo3bo$7b2o3b2o2$7b2o$6bobo$7bo!,-48,-2,17b2o$17bo2bo2$21bo$18bo$10b2o6b2o$10bobo2b3o$12bo2b3o$12b2ob2o$3b2o5b2o6bobo$4bo4bo2b3o3bob3o$3bo3bo2bobo3bobo4bo$2bob7o2b2obobob3o$2bobo6bobo3bo2bo$b2o3b3obo2bobobobo$2bob2obobo3b2obobo$o2bobobobo2b3obo$2obobobobob2o3bo$3bobo3bobobobo$3bo2b2obobob2o$2b2o4bobobo$8bo3bo$7b2o3b2o2$12b2o$12bobo$13bo!,-79,-2,17b2o$17bo2bo2$21bo$18bo$10b2o6b2o$10bobo2b3o$12bo2b3o$12b2ob2o$3b2o5b2o6bobo$4bo4bo2b3o3bob3o$3bo3bo2bobo3bobo4bo$2bob7o2b2obobob3o$2bobo6bobo3bo2bo$b2o3b3obo2bobobobo$2bob2obobo3b2obobo$o2bobobobo2b3obo$2obobobobob2o3bo$3bobo3bobobobo$3bo2b2obobob2o$2b2o4bobobo$8bo3bo$2b2o3b2o3b2o$bobo$2bo!,-108,-2
138P7 (dot sparker),10,5b2o$6bo8b2o$5bo5b2o2bo2bo4bobo$5b2o4bobobob2o3bob2o$13bobo6bo$8b2o5bob2o2b2ob4o$b3o11bobobo4bo3bo$6bob2o3bobobob2obo3bobo$5b2ob2o2bobob2o2bobob4o$o2bo4b2o7b3o$5b2ob2o2bobob2o2bobob4o$6bob2o3bobobob2obo3bobo$b3o11bobobo4bo3bo$8b2o5bob2o2b2ob4o$13bobo6bo$5b2o4bobobob2o3bob2o$5bo5b2o2bo2bo4bobo$6bo8b2o$5b2o!,0,-9,@,7,3b4o$3b4o6b4o$3b23o$3b23o$3b23o$3b25o$3b26o$29o$29o$b28o$b28o$b28o$29o$29o$29o$3b25o$3b23o$3b23o$3b24o$3b4o6b10o$3b4o!,1,-10,bo$2o$bo!,0,-1,5b2o$6bo8b2o$5bo5b2o2bo2bo4bobo$5b2o4bobobob2o3bob2o$13bobo6bo$8b2o5bob2o2b2ob4o$b3o11bobobo4bo3bo$6bob2o3bobobob2obo3bobo$5b2ob2o2bobob2o2bobob4o$o2bo4b2o7b3o$5b2ob2o2bobob2o2bobob4o$6bob2o3bobobob2obo3bobo$b3o11bobobo4bo3bo$8b2o5bob2o2b2ob4o$13bobo6bo$5b2o4bobobob2o3bob2o$5bo5b2o2bo2bo4bobo$6bo8b2o$5b2o2$5b2o$4bobo$5bo!,-34,-9,5bo$4bobo$5b2o2$5b2o$6bo8b2o$5bo5b2o2bo2bo4bobo$5b2o4bobobob2o3bob2o$13bobo6bo$8b2o5bob2o2b2ob4o$b3o11bobobo4bo3bo$6bob2o3bobobob2obo3bobo$5b2ob2o2bobob2o2bobob4o$o2bo4b2o7b3o$5b2ob2o2bobob2o2bobob4o$6bob2o3bobobob2obo3bobo$b3o11bobobo4bo3bo$8b2o5bob2o2b2ob4o$13bobo6bo$5b2o4bobobob2o3bob2o$5bo5b2o2bo2bo4bobo$6bo8b2o$5b2o!,-71,-9,,,
p7 pipsquirter edgy version,10,6b2o$6bobo$8bo$3bo2bob2o$3b4o$7b2o2b2o$3b4o$obo3bob2o$2ob2obobo$3bo4bo$3bobobob2o$2obobobobo$obo4bobo$2bob2obo2b2o$2bobo3bobo$b2o2bob2obo$2bobo4bo$2bo3b3o$3b2obo$8b3o$b7o2bo$bo2bo2bo!,-12,-5,*,7,6b4o$6b5o$6b5o$3b9o$3b9o$3b8o$3b8o$11o$12o$12o$13o$13o$13o$14o$14o$b13o$b12o$b12o$b12o$b12o$b12o$b12o$b12o$b9o!,-13,-6,o$3o$o!,-2,-1,9b2o$9bobo$11bo$6bo2bob2o$6b4o$10b2o2b2o$6b4o$3bobo3bob2o$3b2ob2obobo$6bo4bo$6bobobob2o$3b2obobobobo$3bobo4bobo$5bob2obo2b2o$5bobo3bobo$4b2o2bob2obo$5bobo4bo$5bo3b3o$6b2obo$11b3o$b2ob7o2bo$obobo2bo2bo$bo!,-34,-5,6b2o$6bobo$8bo$3bo2bob2o$3b4o$7b2o2b2o$3b4o$obo3bob2o$2ob2obobo$3bo4bo$3bobobob2o$2obobobobo$obo4bobo$2bob2obo2b2o$2bobo3bobo$b2o2bob2obo$2bobo4bo$2bo3b3o$3b2obo$8b3ob2o$b7o2bobobo$bo2bo2bo5bo!,-54,-5,10b2o$10bobo$12bo$7bo2bob2o$7b4o$11b2o2b2o$bo5b4o$obobobo3bob2o$b2ob2ob2obobo$7bo4bo$7bobobob2o$4b2obobobobo$4bobo4bobo$6bob2obo2b2o$6bobo3bobo$5b2o2bob2obo$6bobo4bo$6bo3b3o$7b2obo$12b3o$5b7o2bo$5bo2bo2bo!,-79,-5
