name,absence,rle,dx,dy,symType,period,required,req dx,req dy,locus,locus dx,locus dy,forbidden 1,forbid 1 dx,forbid 1 dy,forbidden 2,forbid 2 dx,forbid 2 dy
30P25,24,2o$bo$bobo$2b2o4bo$7bobo$7bo$3bo3b2o3bo$3bo4b2obo2bo$9bo$5bo2bo2bo3bo$4bo3bo2bo2bo$10bo$5bo2bob2o4bo$7bo3b2o3bo$12bo$10bobo$11bo4b2o$16bobo$18bo$18b2o!,-10,-10,x,25,4o$4o$6o$6o$b10o$2b9o$5b6o$5b6o$5b7o$6b7o$7b7o$8b7o$9b7o$10b7o$11b6o$11b6o$11b9o$11b10o$15b7o$16b6o$18b4o$18b4o!,-11,-11,7bo$8bo$8b2o$bo7b3o$2o7b4o$bo9b2o$b3o8b2o$2b2o8b3o$3b2o9bo$3b4o7b2o$4b3o7bo$6b2o$7bo$8bo!,-8,-7,bo$obo$b2o2$b2o$2bo$2bobo$3b2o4bo$8bobo$8bo$4bo3b2o3bo$4bo4b2obo2bo$10bo$6bo2bo2bo3bo$5bo3bo2bo2bo$11bo$6bo2bob2o4bo$8bo3b2o3bo$13bo$11bobo$12bo4b2o$17bobo$19bo$19b2o!,-40,-10,2o$bo$bobo$2b2o4bo$7bobo$7bo$3bo3b2o3bo$3bo4b2obo2bo$9bo$5bo2bo2bo3bo$4bo3bo2bo2bo$10bo$5bo2bob2o4bo$7bo3b2o3bo$12bo$10bobo$11bo4b2o$16bobo$18bo$18b2o2$18b2o$18bobo$19bo!,-66,-10
36P25 dimer,24,12bo$5b2o4bob2o6b2o$5bobo3bo8bobo$6b2o4bo$2b2o$bobo7b4obo$bo9b3o2bob3o2b2o9b2o$2o9b2o2b3obo2b3o9bo$19bob4o7bobo$32b2o$23bo4b2o$13bobo8bo3bobo$13b2o6b2obo4b2o$23bo!,-18,-7,x,25,5b4o11b5o$5b5o10b5o$5b7o8b5o$2b11o7b5o$b25o$b26o6b5o$6o3b19o5b5o$5o5b19o3b6o$5o6b26o$12b25o$13b5o7b11o$13b5o8b7o$13b5o10b5o$13b5o11b4o!,-19,-7,2bo$b3o$4o11$10b4o$10b3o$11bo!,-7,-8,,,,,,
36P25,24,12bo$5b2o4bob2o8bo$5bobo3bo9b3o$6b2o4bo7bo$2b2o16b2o$bobo7b4obo$bo9b3o2bo$2o9b2o2b3ob2o$19b2o3$13bobo$13b2o!,-12,-7,*,25,5b4o14b3o$5b5o11b5o$5b7o8b6o$2b11o7b6o$b25o$b23o$6o3b15o$5o5b13o$5o6b12o$12b11o$13b5o$13b5o$13b5o$13b5o!,-13,-7,2bo$b3o$4o!,-1,-8,,,,,,
