name,absence,rle,dx,dy,symType,period,locus,locus dx,locus dy,required,req dx,req dy,forbidden 1,forbid 1 dx,forbid 1 dy
figure eight,8,2b2o2$o3bo$o4bo$2bobobo$3bobobo$4bo4bo$5bo3bo2$6b2o!,-2,0,|,8,2b2o2$o$o3$9bo$9bo2$6b2o!,-2,0,2b3o$b5o$7o$8o$8o$b7o$2b5o$3b3o!,-1,1,,,
36P8 (medium domino),8,6b2o$10b2o$5b2obo2bo$6bob3o$7bo$2bo4b4o$ob2o3bo2bo$o3b3ob2o$2b2obobo$3bobobo$bobob2o$b2o!,-6,0,@,8,6b3o6$o$o$o!,-6,0,9b4o$5b8o$5b8o$4b9o$3b9o$b11o$b11o$b11o$b10o$9o$9o$8o$4o!,-6,0,,,
180P8 (huge domino),8,17b2o$6bo2bo2bo3bo2bob2o$6b7o2bob3obo$2o13bo6b3o$bo2b11ob6o2bo$bobo4bo5bobobo4bo$2obobo4b2o3bo3b2o$o5bo2bo2bo4b2o8b5obo$b2ob2o6bo5b2o3bob2o$2bobo7bo8bo2bo9bo$2bobo7bo8bo2bo9bo$b2ob2o6bo5b2o3bob2o$o5bo2bo2bo4b2o8b5obo$2obobo4b2o3bo3b2o$bobo4bo5bobobo4bo$bo2b11ob6o2bo$2o13bo6b3o$6b7o2bob3obo$6bo2bo2bo3bo2bob2o$17b2o!,-34,-9,@,8,2o$2o$3o$3o$2o$2o!,-2,-2,17b4o$6b19o$6b20o$27o$27o$27o$28o$32o$32o$32o$b31o$b31o$32o$32o$32o$28o$27o$27o$27o$6b20o$6b19o$17b4o!,-35,-10,18b2o$7bo2bo2bo3bo2bob2o$7b7o2bob3obo$b2o13bo6b3o$2bo2b11ob6o2bo$2bobo4bo5bobobo4bo$b2obobo4b2o3bo3b2o$bo5bo2bo2bo4b2o8b5obo$2b2ob2o6bo5b2o3bob2o$3bobo7bo8bo2bo9bo$3bobo7bo8bo2bo9bo$2b2ob2o6bo5b2o3bob2o$bo5bo2bo2bo4b2o8b5obo$b2obobo4b2o3bo3b2o$2bobo4bo5bobobo4bo$2bo2b11ob6o2bo$b2o13bo6b3o$7b7o2bob3obo$b2o4bo2bo2bo3bo2bob2o$obo15b2o$bo!,-35,-9
blocker,8,4b2o$2obo2bob2o$o4bo2b2o$4bo$bobo!,-3,-4,x,8,5b3o5$3o!,-2,-5,12o$12o$12o$12o!,-4,-4,,,
kok's galaxy,8,3bo2bo$7bo$8b2o$2bob2o6bo$2bo2bo3bo$bo3bob3o$o11bo$3b3obo3bo$3bo3bo2bo$o6b2obo$3b2o$5bo$6bo2bo!,-3,0,|,8,,,,3b5o$2b7o$b9o$11o$11o$11o$11o$11o$b9o$2b7o$3b5o!,-2,1,,,
209P8 (huge middleweight),8,15bob2o$2bo12b2obo$bobo14bob2o8bo$o3bo6b2o5bo2bo3b2o2bobo$bo3bo5bobob2ob2o5bo3bobo$2bo3bo6bobobo2b4obo2b2o2b2o$3bo3bo5bobo3bo3bobobo2bobo$4bobo3bo2b2ob2ob2obo2bob3o2bo$5bo4bob3o2b2obo4bo4bob2o$11bo4bo3bobo2bo4b2o3bo$12b9o5bo2b2obo$32bo3bo$12b9o5bo2b2obo$11bo4bo3bobo2bo4b2o3bo$5bo4bob3o2b2obo4bo4bob2o$4bobo3bo2b2ob2ob2obo2bob3o2bo$3bo3bo5bobo3bo3bobobo2bobo$2bo3bo6bobobo2b4obo2b2o2b2o$bo3bo5bobob2ob2o5bo3bobo$o3bo6b2o5bo2bo3b2o2bobo$bobo14bob2o8bo$2bo12b2obo$15bob2o!,-36,-11,@,8,2o$2o$3o$2o$2o!,-2,-2,15b6o$2b3o9b7o$b5o7b11o6b3o$7o4b23o$8o3b23o$36o$b35o$2b34o$3b32o$4b31o$5b30o$6b29o$6b29o$6b29o$5b30o$4b31o$3b32o$2b34o$b35o$36o$8o3b23o$7o4b23o$b5o7b11o6b3o$2b3o10b6o$15b6o!,-37,-12,,,
76P8 (medium domino but less accessible),8,6b2o$2b2o6b2o$bo10bo$bobo6bobo$2obob4obob2o$3bob4obo$2obo6bob2o$bobo2b2o2bobo$bo2bob2obo2bo$2bob2o2b2obo$b2ob2o2b2ob2o2$b2o2b4o2b2o$obo2bo2bo2bobo$bo10bo!,-6,0,@,8,b2o$4o!,-1,0,2b4o4b4o$b5o4b5o$b14o$16o$16o$16o$16o$16o$b14o$b14o$b14o$b14o$16o$16o$16o$b3o8b3o!,-7,0,,,
t nosed,8,2bo$2bo$b3o6bo$bobo3b3obo$ob3o2b2o2bo$bobo3bob2o$6b3o$5bo2bo$5bo$5bo$4b2obo2bo$b2obo2bo2bo$2bobob2obo$obobo2bobobo$2o2bo2bo2b2o$4b4o2$4b2o$4b2o!,-2,0,@,8,bo6bo$3o4b3o!,-1,0,b12o$14o$14o$14o$b12o$b12o$b12o$b12o$14o$14o$14o$14o$14o$14o$4b6o$4b4o$4b4o$4b4o!,-3,2,,,
