name,absence,rle,dx,dy,symType,period,required,req dx,req dy,locus,locus dx,locus dy
34P14 shuttle,14,5bo$4bo2bo$b2o5bo$o8bo3b2o$o8bo3b2o$bob2ob3o$5b2o2$5b2o$bob2ob3o$o8bo3b2o$o8bo3b2o$b2o5bo$4bo2bo$5bo!,-5,0,/,14,17o$17o$17o$17o$17o$17o$17o$17o$17o$17o$17o!,-6,2,3bo3bo$2b7o$o10bo10$o10bo$2b7o$3bo3bo!,-3,0
42P14,14,17bo$16b2o$14b2ob2o$16bo$11b2o3b2o7b2o$2o12bob2o6bobo$bo12b2o8b3o$bobo8b2o4b2o8b2o$2b2o8b2o4b2o8bobo$5b3o8b2o12bo$5bobo6b2obo12b2o$5b2o7b2o3b2o$15bo$13b2ob2o$14b2o$14bo!,-16,-8,x,14,16b5o4b4o$4o11b7o2b5o$4o11b14o$6o5b21o$b5o5b22o$b22o5b5o$2b21o5b6o$5b14o11b4o$5b5o2b7o11b4o$5b4o4b5o!,-17,-5,5b2o$4b3o$3b5o$7bo$2o7$8b2o$2bo$2b5o$3b3o$3b2o!,-5,-8
