name,absence,rle,dx,dy,symType,period,required,req dx,req dy,locus,locus dx,locus dy
unix,10,2b2o$o2bo3$2obo$2bobo2b2o$3bo4bo$4bo$4bo2bo!,0,-1,@,6,4o$4o$4o$4o$4o$9o$9o$9o$b8o!,1,-2,o$2o$2o$o3$5b2o$4b4o!,0,0
HW,10,6b2o$4bo4bo2$3bo6bo$b3obob2ob3o$o4bo3bo3bo$b5o2b2obobo$6bo2bob2o$3bob5o$2bobo5b3o$2bobo3b2o3bo$b2ob2obobob2o$8bo2bo$9bobo$7bobob2o$7b2o!,-6,0,@,6,3b10o$b14o$16o$16o$16o$b15o$2b14o$2b14o$b15o$b15o$b14o$7b8o$7b8o$7b8o$7b5o!,-7,2,2b2o$6o$6o!,-2,0
domino fountain,10,9b2o2$5bo8bo$4b2o8b2o$4b2o8b2o$7b6o$2bo14bo$b4o10b4o$o3bo10bo3bo$b3o12b3o3$b3o12b3o$o3bo10bo3bo$2ob2o10b2ob2o!,-9,0,@,6,4b14o$4b14o$4b14o$2b18o$b20o$22o$22o$22o$7o8b7o$7o8b7o$7o8b7o$7o8b7o$7o8b7o$7o8b7o!,-10,2,2b2o$6o$6o!,-2,0
pipsquirter,10,5bo$5bo2$3bo3bo$b3obob3o$o3b2o4bo$ob2o2b2obobo$bo2b2o2b2obo$2b2o2b2obobob2o$4bo2bobobob2o$4b4ob2o$8bo$6bobo$6b2o!,-5,0,@,6,b11o$13o$14o$15o$17o$b16o$2b15o$4b13o$4b9o$6b5o$6b5o$6b4o!,-6,3,bo$bo$3o!,-1,0
t nosed,10,5bo$5bo$4b3o2$4b3o2$2o2b3o2b2o$obo2bo2bobo$bo7bo2$bo7bo$obo2bo2bobo$2o2b3o2b2o2$4b3o2$4b3o$5bo$5bo!,-5,0,/,6,5b3o$4b5o$13o$13o$13o$13o$13o$13o$13o$13o$13o$2b7o$5b3o!,-6,3,bo$bo$3o14$3o$bo$bo!,-1,0
thumb,10,4bo$5bo$bo4bo$o3b3o$3o4b2o$5bobo$6obo$o5bo$3b3o$3bo!,-4,0,@,6,5b4o$9o$11o$11o$11o$10o$10o$9o$3b5o$3b3o!,-5,1,bo$2o!,-1,0
double-ended domino,10,5bo7bo7bo$4bobo5bobo5bobo$4bobo5bobo5bobo$2b3ob2o3b2ob2o3b2ob3o$bo6bo9bo6bo$bob4o2bo7bo2b4obo$5bo4b7o4bo$4bo5b7o5bo$o4bob2ob2o3b2ob2obo4bo$o4bob2ob2o3b2ob2obo4bo$4bo5b7o5bo$5bo4b7o4bo$bob4o2bo7bo2b4obo$bo6bo9bo6bo$2b3ob2o3b2ob2o3b2ob3o$4bobo5bobo5bobo$4bobo5bobo5bobo$5bo7bo7bo!,0,-8,/,6,3b3o13b3o$2b5o3b5o3b5o$2b5o3b5o3b5o$8ob7ob8o$25o$25o$25o$25o$2b21o$2b21o$2b21o$2b21o$25o$25o$25o$25o$8ob7ob8o$2b5o3b5o3b5o$2b5o3b5o3b5o$3b3o13b3o!,1,-9,bo23bo$2o23b2o$2o23b2o$bo23bo!,0,-1
MW,10,10bo$8bo3bo2$7bo5bo$2b2o2bo2b3o2bo2b2o$2bo4bo5bo4bo$3b5o5b5o$3o7bo7b3o$o3b2o3b3o3b2o3bo$b2obo2bob3obo2bob2o$2bo2b2o7b2o2bo$2bo4bo5bo4bo$3b15o2$5b2o7b2o$5bo2b2ob2o2bo$3bobo9bobo$3b2o5bo5b2o$9b3o!,-10,0,@,6,7b7o$2b17o$2b17o$3b15o$21o$21o$b19o$2b17o$2b17o$3b15o$5b11o$5b11o$5b11o$3bob11obo$3b15o$5b11o!,-10,3,2bo$5o$5o!,-2,0
large fountain,10,10bo2$7bo5bo$6bo7bo$6bo2b3o2bo$5b2o7b2o$5b2o7b2o$3bob2o7b2obo$b3obo9bob3o$o4bob2o3b2obo4bo$b5o2bo3bo2b5o$6bobo3bobo$ob2o2bobo3bobo2b2obo$2obo3b2o3b2o3bob2o3$9b3o$8bobobo$6b3o3b3o$5bo4bo4bo$5bob2o2bob2obo$6bo2b4obobo$7b2o4b2ob2o$9bo2bobobo2bo$9b4ob2o2b2o$13bo$11bobo$11b2o!,-10,0,@,6,7b9o$6b11o$5b13o$5b13o$3b17o$b21o$23o$23o$23o$23o$23o$23o$23o$9b5o$8b7o$6b11o$5b13o$5b14o$5b14o$5b15o$6b16o$7b15o$9b13o$9b13o$10b6o$11b5o$11b4o!,-11,2,bo$3o!,-1,0
