name,absence,rle,dx,dy,symType,period,locus,locus dx,locus dy,required,req dx,req dy,forbidden 1,forbid 1 dx,forbid 1 dy,forbidden 2,forbid 2 dx,forbid 2 dy
48P9 (weak dot),12,4b2o$b2o2bo$4bo$4bo8b2o$o12bo$4b2o5bobo$2b2ob2o4b2o$6b2o$6b3o$6b2o$2b2ob2o4b2o$4b2o5bobo$o12bo$4bo8b2o$4bo$b2o2bo$4b2o!,0,-4,@,9,b2o$bo$bo$o$bo6$bo$o$bo$bo$b2o!,0,-3,3b3o$2b4o$6o$6o5b4o$7o4b4o$8ob6o$15o$14o$14o$14o$14o$14o$15o$15o$7o4b4o$6o5b4o$6o$2b4o$3b3o!,1,-5,13bo$4b2o6bobo$b2o2bo7b2o$4bo$4bo8b2o$o12bo$4b2o5bobo$2b2ob2o4b2o$6b2o$6b3o$6b2o$2b2ob2o4b2o$4b2o5bobo$o12bo$4bo8b2o$4bo$b2o2bo$4b2o!,0,-5,4b2o$b2o2bo$4bo$4bo8b2o$o12bo$4b2o5bobo$2b2ob2o4b2o$6b2o$6b3o$6b2o$2b2ob2o4b2o$4b2o5bobo$o12bo$4bo8b2o$4bo$b2o2bo7b2o$4b2o6bobo$13bo!,0,-4
60P9 (dot),12,9bo$8bobo$4bo3bobo3bo$3bobo7bobo$2bobo3b3o3bo$3bo3bo3bo$7b4obo$5b2o4bobob2o$b2obobob2obobo3bo$o3bobob2obobob2o$b2obobo4b2o$5bob4o$6bo3bo3bo$3bo3b3o3bobo$2bobo7bobo$3bo3bobo3bo$7bobo$8bo!,-9,0,.,9,9bo$8b3o6$16bo$bo14b2o$2o14bo$bo6$7b3o$8bo!,-9,0,2b3o7b3o$b15o$16o$16o$15o$b14o$b13o$b15o$b13o$b14o$b14o$b15o$16o$16o$15o$b3o7b3o!,-8,1,,,,,,
50P9 (domino),12,8b2o2$4b2o6b2o$7b4o$3bobo6bobo$b3obobo2bobob3o$o3b2ob4ob2o3bo$b2o3bo4bo3b2o$3b2o2bo2bo2b2o$3bob2o4b2obo!,-8,0,@,9,b2o$4o!,-1,0,4b12o$3b14o$b18o$20o$20o$20o$b18o$3b14o$3b14o!,-9,2,,,,,,
104P9 (large heavyweight),12,8b2o$6bo4bo$2b2o10b2o$2bo2bo6bo2bo$3b3ob4ob3o$6bo4bo$3b3o6b3o$2bo12bo$3b5o2b5o$8b2o$5b2o4b2o$4bobo4bobo$4b2o6b2o3$6b2o2b2o$5bo2b2o2bo$3bobob4obobo$b3obobo2bobob3o$o3b2ob4ob2o3bo$b2o3bo4bo3b2o$3b2o2bo2bo2b2o$3bob2o4b2obo!,-8,0,@,9,2b2o$6o$6o!,-2,0,2b4o8b4o$2b16o$2b16o$2b16o$3b14o$2b16o$2b16o$2b16o$3b14o$4b12o$4b12o$4b12o$4b12o$4b12o$4b12o$3b14o$b18o$20o$20o$20o$b18o$3b14o$3b14o!,-9,1,,,,,,
snacker,12,3b2o7b2o7b2o$3bo2bo3bo4bo3bo2bo$4b3o2bo6bo2b3o$b3o4bo8bo4b3o$o3bo3bo8bo3bo3bo$b3o4bo8bo4b3o$4b3o2bo6bo2b3o$3bo2bo3bo4bo3bo2bo$3b2o7b2o7b2o!,-12,0,/,9,2b2o$6o6$6o$2b2o!,-2,0,3b4o14b4o$3b5o12b5o$3b5o12b5o$b10o6b10o$28o$28o$28o$b10o6b10o$3b5o12b5o$3b5o12b5o$3b4o14b4o!,-13,-1,,,,,,
