name,absence,rle,dx,dy,symType,period,required,req dx,req dy,forbidden 1,forbid 1 dx,forbid 1 dy
candlefrobra,6,2b2o$2b2o2$4o$o3bo$2bobo2$bo2bo$bobo$2bo!,-4,-7,*,3,2b4o$2b4o$2b4o$6o$6o$6o$6o$b5o$b4o$b4o$b4o$2b3o!,-5,-8,,,
caterer,6,2bo$o3b4o$o3bo$o$3bo$b2o!,-7,-1,*,3,o$8o$7o$7o$6o$6o$b4o!,-8,-1,,,
30P3,6,12b2o$6b2o4b2o$2bob4o3bo$3o2bobob7o$15bo$2b2o7b2o$3bo5b3obo$9b4o$9bo!,0,-3,*,3,10b4o$10b4o$5o2b7o$16o$16o$b15o$b15o$b10ob2o$b13o!,1,-4,12b2o$6b2o4b2o$2bob4o3bo$3o2bobob7ob2o$15bobobo$2b2o7b2o5bo$3bo5b3obo$9b4o$9bo!,0,-3
odd keys,6,2bo6bo$bo2bo2bo2bo$o10bo$b2ob4ob2o$5b2o!,-2,0,@,3,5o4b5o$14o$14o$b12o$5b4o!,-3,1,,,
jam,6,4b2o$3bo2bo$2bobobo$3o2bo2$2b2o$3bo!,0,-3,@,3,2b4o$b6o$b6o$7o$7o$4o$b3o$b3o!,1,-4,,,
258P3 (large domino),6,13b2o2$3b2o3bob2o4b2obo3b2o$2bo3bobo3b4o3bobo3bo$2bobo5bo2b2o2bo5bobo$b2o6b2o2b2o2b2o6b2o$o2b3o4b2o4b2o4b3o2bo$2o4b3o3b4o3b3o4b2o$2b3ob3o10b3ob3o$2o5bo4b4o4bo5b2o$bobo3b2o10b2o3bobo$o2b3o3bo2bo2bo2bo3b3o2bo$b2o3b2o3b6o3b2o3b2o$2bobo4b2o2b2o2b2o4bobo$2bob2obobo3b2o3bobob2obo$b2o2bob5o4b5obo2b2o$o2bob2o4b6o4b2obo2bo$bobobobobo8bobobobobo$2obo6b8o6bob2o$3b2o2b2o10b2o2b2o$2obo2bo2b3ob2ob3o2bo2bob2o$o3b2o2bo2bob2obo2bo2b2o3bo$b3o5b2o6b2o5b3o$3bo20bo!,-13,0,@,3,3b9o6b9o$2b26o$2b26o$b28o$30o$30o$30o$30o$30o$30o$30o$30o$b28o$b28o$30o$30o$30o$30o$30o$30o$30o$30o$30o$3b3o18b3o!,-14,1,,,
